"字段1","字段4","字段5"
"Nicolay_Li","12","两星半。压抑久了隔靴挠痒都能高潮。"
"肥兔兔~粉色的","5","如果不是因为剪辑太过粗糙，支线过于拖沓，这部比较贴近政治原生态的剧作还是可以打五分的。"
"80年代","1","不慌打分，最有价值的是看评论。豆瓣别删好吧。"
"Lil' Silency","10","看了10集，觉得里面女演员（大部分）对如何塑造一个有魅力的职业女性理解有误。林华华的神态语言都很像我教的初中生，找到机会就要表现一把自己的天真可爱。不知道陆毅读没读过道林格雷的画像，没读过最好看看。"
"森林小妖elf","6","无关紧要凑热闹的辅线（所有年青人的）戏全删掉会更好，剪辑也有大毛病：明明毫无关联的两个场景戏非要切换来切换去，那些说见着郑胜利就按快进的同学你们真能好好快进吗？我反正快进的快晕了。"
"蜡笔","0","前两集被一墙一冰箱的rmb震撼了，后面节奏太慢了，30集能说完的故事非得搞多一倍"
"兔子大饼干","1","什么都好，就是某B组导演的戏实在太烦"
"远行","4","我滴天，居然能拍反贪剧了。"
"汤米","0","剪辑太烂！戏的分寸太好！"
"松尾芭蕉","10","台词略尴尬。。。有这么好看吗？"
"小七八","1","各行各业的朋友们都在夸这剧“太真实啦！”“这就是官场啊！”"
"土豆丝","2","尺度大突破厉害了"
"杨淇羽","5","不经过广电俨然已经成为做带感影视剧的一大途径。前几集节奏明快，人物台词非常讲究，老戏骨们把握出来的那种官腔非常真实，场景调度在向美剧学习。高小琴出现时多次穿着的红衣服和官员们一片黑压压的西装对比感觉是有设计过的。个别演员加的戏反而有些别扭，感觉后面剧情展开会越来越慢不是个好苗头。"
"暮 暮 朝 朝","13","对本剧唯一的期待就是 不要有感情戏 不要有感情戏 不要有感情戏 另外 hin希望陆毅的角色换刘烨试试看 感觉会更好一些诶"
"如雨是桔子的ma","13","清明放假在家连刷十集，停不下来，难得的好剧"
"Viola","4","可能也就95后觉得大尺度吧....角色形象单薄 剧情现在看简直单纯哭了"
"倒霉蛋","4","好剧，要支持"
"37℃","6","省公安厅长警号竟然是00001"
"丸子大喵能","7","我爹我妈推荐我看。吴刚好过侯勇，我猜大Boss是高育良。台词开口闭口动不动就是“党国人民”“XX同志”，现实里的官场除了开会，真这么说话？"
"九时用茶","3","不错，可惜家庭戏份还是太重了，把这些戏都删了就完美了"
"博尼法乔","10","继湄公河大案后，政府又一次漂亮的影视正面宣传，也非常具有警示作用，印象十分深刻的一句话：政府是为人民服务。不是为人民币服务。希望祖国在前进发展中不忘初心。"
"你踢","19","一集弃 制作水平令人堪忧 剧情拖拖拉拉 看得人昏昏欲睡 有演技又如何"
"国家电网保安员","15","看了两集，妈的这是什么鬼东西？"
"Riobluemoon","7","上次看国产剧估计要10年前了吧，但这次却有点被震撼到了。本来这种有关政府的事情一向不关心，但如今身在屋檐下，却感觉自己有点落得像陈海一般，想做又做不了的感觉出来了。但不管怎么样，能够把这样的东西拍出来就是胜利了哦~~~这下要入坑了，嘿嘿~~"
"Noodles","21","草泥马"
"酷酷的萌妹景","8","好看呀！！！成为达康宝宝的GDP"
"影中世界","15","真是看得好过瘾，揭露中国官场百态，每个人演技也都非常好，台词也特别内涵，期待后续的发展"
"HAPPY FEET","2","较之以往，可以说有很大的进步了，尽管诸多不足的地方也有，比如脸谱化及逻辑的不合理性方面"
"kairos","6","其实客观来说四颗星，但真的是有突破国产剧以往的尺度敢于直面反腐现状值得点赞！老戏骨的飙戏实在太精彩了。"
"Jeffrey","22","显然是过誉了，或者说人民被压抑的太久，寂寞的太久，可能有4 5年没有类似主流反贪片了，所以出来一部就全民轰动了。另一方面，这两年舆论环境媒介变化，小粉红二次元脑残等和人民日报团团相映生辉，占据较高新媒体话语权，他们的主动或被动吹捧也起到了推波助澜。"
"Morning","15","看了四集了 终于可以有发言权了吧 陆毅演技太差 所谓的反派演技统统秒杀闪着耀眼光芒的检察干线的公仆们 节奏拖沓得忍不了 不懂为什么火 可能满足了群众对官场的窥探欲 然而我只看到了阶级固化关系网深厚的高层们 终究只是拍出来让群众开心开心的"
"Eileen","16","好片是好片！可是看到郑家日常、反贪局陆处长相亲日常和大风厂唠嗑日常只想快进的抱紧我！"
"严措","2","谁说8090后看电视剧一定要有感情戏才看啊！感情戏败笔！"
"nene","10","年轻演员和老戏骨比起来有差距，看着出戏。先观望一下。"
"風來","7","看了一集，还行吧，套路挺明显的，不太想看后面的。"
"小护士来救救火","23","坏球时报点名表扬哦"
"圆月靑靑","8","今年的现象级良心剧。"
"藍色十字架","10","将就看"
"truffaut","15","看了六集想弃了，没人觉得情节拖沓废话连篇吗，最烦郑西坡和他儿子大段大段的对话，跟说相声似的，又丝毫没有笑点。陈海他爸也烦，退休工人也不消停，整天叨逼叨逼。公安省厅厅长还跑养老院干农活，为了拍马屁也不能这么贱吧？"
"人気小圆头","5","看了几天，没觉得好看，还是琅琊榜那一套叙事嘛"
"队粉啊队粉","27","剧情紧凑演员上心，真的需要这样的剧来提升卫视剧审美了"
"之江","12","没明白老人们为啥觉得此书好。"
"Marquis.F","30","豆瓣也是醉了啊，推荐这种剧……怎么可能打到9分？不过看了两集只服侯勇的表演"
"米周","6","哈哈哈相比之下好为陆毅的演技着急啊！"
"monica喵","5","期望有多大就有多失望，一开始会觉得不错，但是搞不懂一反贪局那么拖拖拉拉干嘛"
"笨～笨不懂！","13","陆毅这么多年演技没有半点提升？？？和老戏骨一比简直太弱了"
"丸子痴了线","5","这样的一部主旋律电视，能在国内火起来真是让人惊奇。豆瓣这么多打一星的主，真想问问你们优越感从哪里来的。"
"未名","27","此剧的陆毅就跟北平无战事的火华哥一样，沦为陪衬老戏骨精彩对戏的背景板。"
"Eeu","4","扣掉一星是因为电视剧将大量镜头给予了可一笔带过的人物和情节。"
"文李","3","喜欢的吴刚演了喜欢的角色，超级棒"
"昵称小姐","16","别人安利看了两集，演技比较尴尬的是柯蓝，不会继续追的理由是觉得在一个政治正确的反腐剧里，处长的姨父是省委副书记，局长的爸爸是副检察长，厅长的老师是省委副书记，总检处长跟反贪局长是铁哥们，都是省委副书记的学生，市委书记老婆是银行行长…在食物链里，他们都是配姓赵的人，其他的，各人体会"
"卡夫卡","26","情节和表演都好生硬，只能改评分了"
"傲世九重天","28","吃我安利，继永不瞑目之后终于又看到陆毅的良心作品了"
"域名怎么改","12","全是实力派飙演技，太过瘾"
"梅勒斯","6","剧还行吧，因为是国产剧，往常就给四星了，但是最近被某些粉红和部门恶心到了，评分要客观是不是，要跟美剧接轨是不是，那这个剧最多三星。情节拖了没？拖了。废人物废角色废剧情有没有？有很多。画面配乐什么不提，因为毕竟是个剧么……三星还不客观的就去横向比较8.8分都什么剧吧。"
"幸胡","29","尺度很大，作为体制内的人，我觉得官场现形很生动，节奏也还不错，各级领导的推诿扯皮简直活灵活现。平时事不关己互相吹捧，出事的时候也是真的怕出事，毕竟要问责的，从上撸到下。然而电视除了揭露现实之外还要传递正能量，觉得这剧假大空是洗白的话，不知道他内心对社会是有多失望。"
"GitHub|废桃������","4","拖沓死了 消磨掉了耐心 需要快进 两星不能再多了"
"腿仔骨������","7","老公看得很嗨，要我来打五星，我对这种题材不感兴趣，觉得挺枯燥的看不进去"
"妈的智障河马酱","18","在家说官话就能体现党性了？"
"吃虾狂魔陈大锤","6","越往后剧情越拖沓，情感戏部分一路快进，好烦郑西坡儿子、猴子老婆、小皮球、还有那俩女检查……我就是单纯地想看勾心斗角啊！"
"海盗果果","3","个人观点，说是中国版的《纸牌屋》，一点不为过。在广电总局的审查制度下，这部剧能出来，说明有地方要放开了，以后可能会有大批量的反腐剧出来，不过，这一部，算是里程碑了！五星里面三星给老戏骨们！"
"阿莫莫","5","给一星的估计都没看强行打分，但剧情拖沓是从我爸妈到我舍友有目共睹的(我就看两集不敢多看)，但真的是全民追剧啊，之后能维持到8我就觉着差不多"
"好一只大美鹿","7","看到为防止强拆和稳定群众情绪，陈老跟大风厂工人守了一夜这集，我先是感慨了一下。但转念一想，这还是讽刺啊，要不是陈老（老检察长），还有陈老跟新任省委书记有点渊源，现实生活里，这个厂还是得强拆啊……"
"何","0","陆毅演戏太用力，活生生把角色演成了脸谱人物，可惜"
"韩BB","6","我每天都是追着看，侯亮平是预言家，沙瑞金是女巫，李达康是猎人，高育良、祁同伟、高小琴、欧阳都是狼"
"弹剑吟歌","4","人民万岁。"
"Monie_兮妍","13","作为中国观众 表示有生之年能看到这个尺度的剧很欣慰啊 总算把从前不敢说的黑暗拍出来了"
"椰子","3","本剧有国家权力机关金钟罩，敢随意评论随时要被跨省的既视感，人微言轻，不敢再看了。"
"小妞妞","4","好看，跟着老爸一起看，就是“为人民服务”这种类似政治正确的台词有些许羞耻感"
"Mis","15","陆毅演技台词和其他人不是一个level"
"Way-Kwok Chu","19","脸谱化"
"Delysia","3","3.5，剧太慢了，没看下去，直接把书看了。李达康是我所有的笑点。"
"leon","1","题材很好，拍的也很真实。但是剧情比较拖沓，主线进展太慢，尼玛看见那个挣钱就想糊死他"
"邈邈","6","是只有我觉得台词蜜汁尴尬呃？这波节奏带得，也算是互联网传播的经典例子了。希望大家多走走亚文化路线，组组cp啊什么的，把尴尬消解一点。"
"Grant","11","一句话总结就是男主角在以省委书记为首的党内健康力量的支持下，突破万难将腐败势力消灭。看着挺爽的，然而要是这些青天不存在呢？"
"Soulseeker","8","第一集就穿帮了，省委常委会议是不能带手机的。"
"我自己的爱达荷","8","是不是因为这几年被小鲜肉霸屏所以大家都吓怕了，都忘记演技其实是演员的立身之本这回事了。讲真，这剧，真的，没有那么好看啊……"
"王二姐坐北楼","30","希望陆毅演一辈子正剧"
"冷吧","0","辣鸡！"
"搂鸡脖","16","非常非常好的剧！！！！！我要给5分！！！！可是被陆毅和那几个年轻演员给硬生生拉掉4分，路转黑。"
"阮健恒Fogo","11","好久沒有追過電視劇了，更何況是國產反腐劇。推薦！尺度之大，角色之多，關係之繁，台詞之絕，演技之牛，節奏之快，套路之深，格局之大。一部值得我們認真品味的劇集，精彩程度直逼『紙牌屋』，雖然擺脫不了國產主旋律的說教，但已經是一次最不令人生厭並且接地氣的說教。"
"了了","8","还可以吧，尺度没多大，有点尴尬"
"本排长累了","6","太拖沓了"
"李维斯基维奇","8","看完前10集，五星好评。必须承认有些内容影响了节奏，但这样才能过审吧。很多场景看的我相当紧张，背后发麻。即是成功的悬疑剧"
"大包砸","11","打一星的肯定是爱哭的毛毛虫派来的～"
"joyshadows","15","哼哼"
"一只叫云朵的鱼","3","是一部好剧，但目前为止想问，一味拔高反贪局合适吗，纪委的作用的？反贪局和纪委的工作是否重复？"
"甲子田","12","这是给不懂中国官场的人看热闹的剧吧？"
"zhwdyeah","16","剧情进展拿捏一般，冲突不够激烈，一到陆毅及其他年轻演员，分分钟出戏。这种人为制造出来的火爆实在让人恶心。"
"花大叔爱电影","18","看了第一集立刻被种草。满嘴都是党国法理，处处都是世事险恶，把优秀的精神弘扬，把丑恶的嘴脸撕裂，侯勇老师的表演让人起鸡皮疙瘩，堪称年度最佳表演������为了这群老戏骨，我愿意放弃所有小鲜肉。"
"姜大噪","1","《人民的名义》，担心它要被禁的真是多虑了，人家出品公司大部分是党宣。1,不敢在豆瓣说2,看了四集腐败的人要不在国外特别惨要不不敢花3,拍得差，镜头，扣绿出问题太多，那假钱4,制作一定参考了《纸牌屋》的，但.....你懂得。"
"VYves","16","五星必须。请不要忘记你盛世的今天，是那些英雄用牺牲换来的。坚守初心做一个纯粹信仰的人而自豪本来就是天经地义的事。/ 老戏骨们不是演员，是真正的表演艺术家啊。"
"pastor king","31","只能这么说，湖南卫视是被广电耽搁的中国最有潜力的电视台"
"崔师傅","1","为面试看了一集——简直停不下来！很有戏中戏效果！官场如戏，全靠演技！和我在R报实习以及我师门（尤其是C大）所见太像了！总体演技五分，陆毅和直男癌厌女症倾向减一分。"
"折耳兔","3","题材很新颖，老戏骨演技很到位，陆毅也不错但是要这个剧不太适合，剧情太过理想化，现实应该不会有这么犀利的局长，和美剧的差距还有很远，4星吧，以示鼓励。"
"旷翰宝","1","老戏骨齐聚，大卡司大制作，剧本也很棒，一句话，一个眼神，一个细微的表情，处处是伏笔。不过以法律人的视角，还是觉得有些细节处理得不是那么法治，毕竟为了戏剧效果，瑕不掩瑜！"
"摩卡","8","不要责怪那些给一星的人~毕竟各有目的。其余的，也就是些孩子。孩子给好作品打一星的，比比皆是。"
"枫林挽秋","7","大陆版“纸牌屋”，尺度惊人。虽然人设配乐仍留有传统主旋律影视的弊端，不过，这一次还是能够看出导演制作方付出了巨大努力和诚意。"
"Yustian","9","前三集还不错啊 节奏紧凑又有梗 可惜后面开始 又进入国产剧老套路 无谓的支线太多了 什么非主要人物的家庭生活都能拍个十几二十分钟～ 所以现在有时候快进看"
"隐山","3","看了第一集，星都给侯勇...还有这剧有点像锦衣卫..."
"fwb","22","人民剧节奏拖沓到令人发指。是导演艺术功底太差，还是为了通过把审片员拖困以达到目的，或者是觉得中国连续剧就得这么婆婆妈妈才对路？最多三星！如果作为影剧作品看，最多两星！"
"海牛","7","心中第二剧，第一大明王朝"
"风露折葵","10","就剧来说它是值得8分的。不觉得是样板戏，不觉得伟光正。明明很真实，很多人物就是我小时候在军区接触的人的写照，所以我讨厌体制内以及上层官员，从小到大都是。更私人一点是非常厌恶部队出身，虽然军人可敬，但是我认识太多太多烂透了的部队高层了。哎。这是事实啊。"
"大桃子","2","为了凸显检察官形象而故意抹黑警察，播到此没有一个警察形象是正面的，这样真的好吗？《湄公河》也没有去抹黑检察官的形象！"
"衰人","5","别看名字看内容，第六集差点看哭了…都是老戏骨，猴勇给了一个好的开局！按照国剧习惯，一贯虎头蛇尾，但愿一直精彩下去"
"该如何是好","29","这不是新浪，别在那弄水军来恶心人，一部反腐剧能拍到这个地步已经很不错了，那些打一星的当自己是救世主啊！！！"
"Betty","11","别的不说，感觉摄制组的服装师大概是没有，感觉大家都住在样品房里，亿元富婆高小琴的化妆衣品都和她的角色不相配，感觉很淘宝，黄毛的杀马特女友总是那几件。 估计没有拉到服装商的赞助"
"Carol","5","能看到这样的戏这样的演员已经很知足了"
"七","14","没必要花很多镜头拍郑家啊"
"honey字母兄","0","最烦这种挂着擦边球牌子，羊头狗肉的作品，怎一个失望了得。没那质量，就别那么宣传，各个论坛宣传铺天盖地"
"朝与同歌暮同酒","3","给老戏骨们跪了，都是戏精，陆毅扣一星，段位差太太太太太太太多了"
"沧千雪","15","且看且珍惜……中国能有一部现实主义题材剧并且还不扯是多么不容易……"
"西瓜二锅头","4","混乱的剪辑不能忍（｀Δ´）！"
"阿湖","2","刚开始有点过度解读了后面发现是真直白不管对话还是剧情 细节真的太差了 题材加一星吧（越是这样越惋惜如果导演功力好一点）"
"June Witt","0","全员演技在线！最爱高李祁三人组成的HD boys！"
"风马云旗","10","很好"
"Grace","8","给李达康的演技四颗星。。。还是很真实的，单单见过大人们一起吃饭就是电视剧里那个感觉"
"浩蓝星","2","这剧居然还有水军刷一星？是什么人？贪官顾的人吗？剧很接地气拍的不错。虽然陆毅的演技压不住场，但老戏骨好评啊！看的过瘾。"
"低头族精分患者","7","给达康书记比心心"
"黄泰京","7","所有的尺度到最后只不过是为了包裹一个真相"
"抱抱宝宝","4","水军真不要脸，我要为达康书记站街！！！爆灯！！！"
"villow.m","3","就五颗星。敢拍敢说话，演技炸裂！中国的好演员都在这里面！"
"熊猫胖小海","4","看了两集受不了那个表演风格"
"流星","7","很给力的良心剧，看到了一种诚意。"
"我爱甜水面","6","好看，抓人，看了还想在看，我觉得超级写实。"
"犹城","8","陆毅作为男主有点出戏，但感觉角色的锅比演员更大一些，假如男主的人设是个利益至上的人，比如纸牌屋里underwood的人设，也许能够更为精彩。。。"
"以攻为上","4","不是紧凑不紧凑的问题，是节奏有些乱。然而这个真实度和细节，确实如果没有最高检领头是拍不出来的。"
"达康的衬衫扣","14","二、五集看得我暴风哭泣脸，求各位老戏骨们多多演戏好嘛！！！！！瑕不掩瑜~wuli育良书记、达康书记、老季、陈老、小金子妥妥的值得五星啊"
"韩小四","9","一口气看完6集，根本停不下来，好看"
"夏天","23","我不管，就要给五星。"
"一二三四五","18","为了我豆的生死存亡，这剧必须打五星！希望更多豆儿接力呀！"
"嫌疑人","2","戏骨"
"wbn850","3","剧情什么都好，就是后期剪切视频太生硬了，太没水准了，我一个外行，看了这么多电视剧，侦探片，悬疑片，剧情片，纪录片。看了3.4集就知道这后期一点水平都没有，偶然看知乎，听说是90后裁剪的，心里更深信这个观点。真是破坏了整个剧情"
"慕森","8","评分太虚高了吧，三分钟勉强给这群老戏骨和时下浮躁的中国电视剧行业里还是有人在认真做剧，尽管结构不太严谨拖拉这是中国电视剧的诟病"
"盗号狗死全家","6","我觉得陆毅演大反派才会有看头。。。不然他的演技一直固步不前。。。"
"Bunny F","1","四星半! 一开始以为是打着xx旗号才高分的电视剧, 不想是真心很好看!  剧情紧凑, 悬疑感重, 高智商腐败和反腐, 水好深! 对各个人物描写的笔墨恰当却有刻画深刻 一个个老戏骨演活了主角配角。有人说把陆毅换成xxx更好 但我觉得陆毅演得挺好 十年后他成熟了 成长为一名好演员!"
"达野风","2","侦案片能水成这样？？？？？看看老戏骨，看看某些权谋吧..............."
"西","19","达康书记演技很帅"
"旧金山旅客","25","拍得很假。欺负观众没在检察院干过吗？周梅森大大和16年前相比毫无进步，导演还很不合时宜地插入各种流行语。"
"Lyanna","9","侯勇老师神演技！"
"芒鞋","8","无事看了两集，所谓的大尺度不过只是把省部级这些官场生态展现了一下，只是以往过于“黑箱”而已，还没《中县干部》这种有趣呢。然后反贪局的检察官们要么爹是厅级领导要么姨夫是省委副书记这种人设我就忍忍算了，结果男一老婆一出场是中纪委干部我就不能忍了。果然辣鸡。"
"a.s.a.p","0","挺真实"
"猫儿腻","5","需要多一些这样的剧，非常好看。"
"冷山","11","多一点这样的国产剧吧！"
"翅多多","7","总体上是瑕不掩瑜的好剧"
"xianglifei","5","昨天"
"喵喵咩","5","如果带着批判挑毛病的眼光看，情节有很多地方生硬，不现实，不合理甚至可笑。有些拔高和煽情的“主旋律”情节让人感觉尴尬…然而，如果从善意的角度看，也能发现不少亮点。尺度自然不用说，确实是有史以来最大的，当然肯定是上面有授意才得以顺利拍摄并播出(能感觉还有很多台词是改过的，情节是剪掉的)"
"madao","8","唯一的败笔就是陆毅啊，看得出他很努力，但是用力太猛了"
"levitating","10","尺度是最大看点，但代价就是——开放的尺度与说教的幅度是成正比的。尽管如此，若此剧能够代表审查G点的提高，依然值得庆贺。故事本身没有什么大毛病，但剧作和制作的水平真是小学生啊。"
"铁玉兰","8","玩呢？平行蒙太奇用得挺high啊"
"苏沫","1","虽然编导有许多差强人意之处，但题材还是让人惊喜的，虽说全方位地都比不上《纸牌屋》，至少迈出了那一步不是吗？"
"kosame","12","啊啊啊最喜欢看老戏骨飙戏了，有个短评打一星居然是在骂服装不时髦，你这智商也就配去看脑残偶像剧了"
"Demo","25","为啥人气这么高，现在高中不上晚自习统一组织观看电视剧了吗"
"Kite","3","55集太水了，剪成20集差不多可以给5"
"陌色、","20","总有些傻逼公知打一分"
"滑稽女王","23","以前反贪都是在新闻里和报道里才能看到相关的，这次电视剧里真的大开眼界"
"晓磬","7","昨晚看了15分钟，台词故弄玄虚，表演矫揉造作，观众都过河了演员还在摸石头，尴尬症都犯了"
"LIMBOY","2","只能说有进步，但是糟点也不少。"
"鲸落","6","眼看他起朱楼 眼看他宴宾客 眼看他楼坍塌"
"没名字","9","看一群老戏骨演戏太带感了"
"julie","2","看到18集，被最后李达康的表情吓到…"
"帝国毁灭","18","第一集感觉很好，越往后越别扭，别说人民不是剧中那副样子，目前出场的人民以外的大小官和公务员也脱离了人性，一种为了反腐而反腐的反腐味道，演戏也不是这样的各位。"
"雪个","1","开启反腐神剧新篇章"
"亲爱的公主病","8","惊人"
"何必","4","说尺度大的观众其实只是不了解官场规则和官场程序而已。就说第一集的讨论和决定，都符合官场运作的常理。省委和市委在需要协调中央和地方关系的重大问题上，必须请示直接领导，必须进行会议讨论，否则就不是中国的官场。至于那个贪官出逃，当然让这些官员添堵，但是，最终他们都是不可能问责的。"
"云朵","10","我已经到了不容易被这种正邪对立的童话故事感动的年纪了？…此片最大的价值一是给不关心政治的人普及官场常识，二是给太乐观的人展示体制已然腐烂…对于关注时政比较多的人来说，既没有新鲜感，又觉得虚伪。"
"红藕香残玉簟秋","14","国内罕见的反腐题材电视剧，强大的演员阵容，演绎出当今社会对于贪官污吏的严肃处理，反贪反腐是主旋律"
"柳信","5","侯勇的演技真是了得！受贿败露的时候真是面如死灰啊，眼睛里全是戏啊！相比之下陆毅有些浮夸。"
"tony","9","片中有很多台词和不必要的线索都可以拿掉，而且如果拿掉的话，会让片子显得统一而有力量，整体观感上升一个 档次。蒙太奇的处理颇佳，只是无用情节和线索的混入让人脱戏，所以 我选择了快进。"
"psvic","6","好题材，带劲。"
"angli","2","中国的电视剧，亮点永远是剧情而不是细节。中国的电视剧的细节的表达，还是很套路。"
"林该隐","2","并不温暖。"
"镜镜想静静","19","因为强行加戏的毛毛虫和弱智女友张宝宝在第二十集叨叨逼叨叨逼 快进的手跟抽筋一样 必须扣一星 导演还说特地给年轻人开的戏路 合着现在年轻人都是挖空心思算计老爹那点养老钱了？？？"
"地山","6","最高检时机抓的真好，以后的反贪直接给监察委了。确实可以了解点中国政治生态，但现实就像郑西坡一样：化身维稳工具的工会主席，怎么可能切实维护得了工人利益，靠官僚系统自己监察自己，怎么可能抑制大规模腐败。毕竟，这片子是人家以你的名义拍给你看的，你能拍吗？"
"Helen","9","被达康书记圈粉了～"
"之远ss","3","看了十集，三星半，会追完吧。优点是围绕贪腐方面的内容也就是所谓尺度，进步是很大。中国特色官场表现得挺真实的，老戏骨们都很好不多说了。但导演水平太次，想当然地“迎合年轻人口味加戏”一如既往的尴尬和落后。主旋律是政治任务倒没什么意见，方式还可以更巧妙点，生硬植入效果也不好不是么= ="
"糖小宝","10","我觉得挺好的……真的"
"大海都是水","11","好人都是一家子，不是同学就是父子。贪官都是老油条，剧情人物脸谱化太厉害，真正的亮点是能让老百姓一窥现在中国官场的政治生态，哪怕是仅有的那么一点，这也是了不起的挑战！"
"Helle","10","演员水平太参差了。侯亮平和他老婆，陆处长和那对小情侣，台词，神情和肢体动作简直是别扭死了。"
"鱼","1","虽然不是很烂，但是这评分怎么可能。。是低分的全给屏蔽了吗？还有这尺度也好意思叫大？"
"我爱电影","0","40岁以下演员的戏份全部删掉，我就给五分"
"Alecto","6","我们历史老师说了，历代君主反贪却越反越贪，越贪越狂，贪中反贪的现象本质是因为专制。"
"阿丸","8","豆瓣评分水份也太大了，剧情拖沓就不说了，好多说教洗脑台词尴尬得飞起"
"二一","4","…为什么正面那方都是熟人啊…"
"小蜜蜂嗡嗡嗡","10","觉得宣传水分太大了吧！难道大家不觉得看着就尴尬吗？人物台词表演与剧情不少地方都存在着尴尬吗？搞得我只盯着看演员表演，完全不在戏中。弃剧！"
"这么近，那么远","5","太长，不紧凑，脸谱化（对比大明王朝1566严嵩和张居正）。各位领导的家属很有意思，都是企事业单位高校一二把手，小孩也耳濡目染，真是高人几等，阶层天生。广大公务员系统人员看了不仅不会引以为戒，还会仔细分析成败细节化为己用，想着剧高一尺，我高一丈。"
"Cony","9","剧情未免太拖沓啊喂"
"I""mComing after","7","汉东市。。。。国内电视剧为啥都用假名  尴尬癌都犯了"
"天风","6","柯蓝演的也太浮夸了吧，这样的人设智商居然能做到处长？女演员里面只有凯丽老师看起来有演技。高小琴的脸是僵住了。林华华除了谈恋爱撒娇之外，干正事都是掉链子的。这个人物是为什么设置的？还有郑师傅儿子的剧情是为了拖慢速度的？"
"阿狗同学","16","追剧中 ……停不下来！"
"一瓶核桃露","7","李达康太可爱了……"
"一平如洗","6","给十星也行呵。几十年一遇，天时地利人和。最难得是细节，不是一般人"
"一心一意只为你","5","好作品，好剧本，好班底，好阵容。"
"一大朵","0","达康书记的GDP由我来守护。"
"游标卡尺","14","好久没有现实题材了，仅这个原因就值得五星好评！何况戏骨们的表现还那么贴切"
"老紉","1","官话多，真实反映官场叫我一介屁民如何评价，年轻正义的处长局长都是二代，被抓的贪官就是农民儿子，老子英雄儿好汉？我从不指望从电视剧获得知识，既然是看电视，看看演员演技台词就行，看了这剧，理解到一个老先生跟我讲，还别看不起样板戏，样板戏也是有艺术水准的，写剧本是汪曾祺，演员都是名角"
"瞪泥煤","9","遵从我的内心"
"摸大王","21","冯巩必反是种病，自己病入膏肓还觉得自己很酷，赶紧翻墙去治病吧，别出来恶心人了。就这剧都能打一星，真觉得你们的存在让豆瓣面对评分质疑的时候都抬不起头。"
"春春","5","今天看小说，然后继续追剧。靠这个陪伴我度过病中岁月吧，真是良心反腐剧，就是最近情节有点拖沓"
"沙漠中的卡夫卡","4","开天辟地之作，但愿不是昙花一现"
"绝情书","3","呵呵"
"安妮公主大人","0","其实我是亮平粉������。"
"Hana","7","赵东来太眼熟了，从长相到身材到气质，跟疯狂动物城里面的警察局长简直一模一样！"
"OreoOlymLee","0","若真能做到隔靴搔痒，没准三星。"
"Cathay","1","看到这个伟光正到极致的剧名我就不想看"
"芝麻酱","3","拍太地道了！作为一名体制内的底层，虽然对厅长等领导过分矮化丑化，我仍然觉得这部有反面公安角色出现的剧顺利制作播出是着实不易，甚至倍感惊奇是如何过审的。个人认为如果没有那审查制度，就没有近年来那么多院线大烂片。从小到大看过那么多香港的警匪片，从没觉得香港警察形象差过！"
"折简","2","最初看这个剧名的时候真是一百个不待见，完全没有想看的欲望，后来一个我挺喜欢的老师让我看两集，这一看，何止两集……剧拍的怎样都不重要了，揭露阴暗的正气更值得称道。"
"一条有用的咸鱼","11","蛮喜欢，感觉信息量很大，会追下去，要是多出这种类型的就好了"
"Caramel","0","题材和故事本身还行，就是拍摄和剪辑非常生硬"
"文子","5","作为一名党员。。。唉"
"八千黛","10","只有前两集节奏带感，后面变成了各种吃饭...侯亮平不是在做饭就是在吃饭....题材不错，但是节奏拖拉，台词生硬，哪有人聊天那个样子说话的？各种没必要的剧情却占用了很多篇幅，比如老郑儿子的插科打诨。"
"幸福芳香","21","看了5集，弃剧。台词尴尬，弥漫着“洗脑”与“义正言辞的说教”，演员出戏。至于鼓吹的尺度，只能说：你看到的，只是想让你看到的，仅此而已。常委间、官场权衡还是推荐《二号首长》。"
"王全蛋","12","剧情的漏洞就不说了，人物的尴尬表演也不说了，台词真的让人没法看下去"
"素手纤纤","7","只看了一集坚持不下去。主要是听不下去对白。"
"12","3","可怕的无脑正反打，神奇的爱党抗战宣言，诡异的夫妻关系。"
"浪客剑心拔刀斋","2","你也就是个名义。"
"滴滴答滴答","0","尺度之大令人咂舌"
"Jane","0","伏笔埋的很深。抓的就是老鬼。"
"明宇晨曦","13","一星给表演，半星给摄影半星给剧本。"
"以太","10","朕一定要从严治党"
"Dr-CHRIS","2","Fantastic CHINA!"
"Bonbi","1","跟风看了三集 没看出个味来 侯勇演得太棒了吧 陆毅这人设差了点 咄咄逼人的（仅是就这三集而言"
"蘑菇","4","18"
"小小的Angela","0","很赞的电视剧"
"樱乂","15","比看纸牌屋都还要激动呀"
"cloverblue","1","如果不是陆毅，还愿意多打一分。他从家到办公室，从现场到朋友，从夫妻到上下级，脸上只有一个表情包——“我真伟光正”，鉴于我不相信一个编剧能在写出活生生人物和现实的同时，又写出一个僵化刻板的人物，我倾向于相信他辜负了剧本、以演技拉低所有人的平均值！哎，这么多年没长进，看见他我只想快进"
"天卡卡","1","看得真过瘾啊，这几年随时有好剧看，权游、鬼吹灯，还有此剧，这剧真是挺烧脑的还"
"向暖","6","正在看，侯勇的演技获得全家一致好评。"
"Violet疯狂的花","3","剧情还是拖沓 但题材已经有很大突破了 算是一种进步"
